id,start_date,end_date,title,category,location,description,access,notes,source_url,verified_on
bbc-proms-2025,2025-08-01,2025-09-13,BBC Proms 2025,Music,"Royal Albert Hall and venues across London",The final six weeks of the summer orchestral season.,Mixed,Calendar window begins after the season opened on 18 July.,https://catalogue.royalalberthall.com/Record.aspx?id=Work13506&src=CalmView.Works,2026-09-08
buckingham-summer-2025,2025-08-01,2025-09-28,Buckingham Palace Summer Opening,Heritage,Buckingham Palace,The State Rooms and East Wing open during the Palace summer season.,Timed tickets,Calendar window begins after the opening on 10 July; opening days and hours vary.,https://www.rct.uk/about/press-office/press-releases/buckingham-palace-east-wing-tours-and-ps1-tickets,2026-09-08
cartier-va,2025-08-01,2025-11-16,Cartier at the V&A,Exhibitions,"V&A South Kensington",A major survey of the jewellery house and its cultural history.,Timed tickets,Calendar window begins after the exhibition opened on 12 April.,https://www.vam.ac.uk/articles/about-cartier-exhibition,2026-09-08
splash-design-museum,2025-08-01,2025-08-17,Splash! A Century of Swimming and Style,Exhibitions,Design Museum,Swimming culture explored through design and fashion.,Ticketed,Final weeks; the exhibition opened before the calendar window.,https://designmuseum.org/asset/download?id=760654f1-339e-4209-981d-3b2f1e5e02e1,2026-09-08
more-than-human,2025-08-01,2025-10-05,More than Human,Exhibitions,Design Museum,Design responses to the relationships between humans and other species.,Ticketed,Calendar window begins after the exhibition opened.,https://designmuseum.org/asset/download?id=760654f1-339e-4209-981d-3b2f1e5e02e1,2026-09-08
millet-national-gallery,2025-08-07,2025-10-19,Millet: Life on the Land,Exhibitions,National Gallery,Jean-François Millet and rural life in nineteenth-century France.,Free,,https://www.nationalgallery.org.uk/exhibitions/past/millet-life-on-the-land,2026-09-08
all-points-east,2025-08-15,2025-08-24,All Points East,Music,Victoria Park,Five large open-air concert days across two weekends.,Ticketed,The date span includes non-concert weekdays; check individual show dates.,https://www.allpointseastfestival.com/uploads/documents/APE25_ref086_All-Points-East-Access-Arrival-Guide_V2_040825_Public-copy.pdf,2026-09-08
gdif,2025-08-22,2025-09-06,Greenwich+Docklands International Festival,Performance,"Greenwich, East London and the City",Free outdoor theatre dance circus and spectacle across east London.,Mostly free,Individual performances have their own times and access arrangements.,https://festival.org/wp-content/uploads/2025/08/GDIF_Above_And_Beyond_2025_v6_Low_Res.pdf,2026-09-08
notting-hill,2025-08-23,2025-08-25,Notting Hill Carnival,Festivals,"Notting Hill, west London",Steelpan on Saturday; street parades on Sunday and Monday.,Mixed,Parade routes affect local travel; Panorama is separately ticketed.,https://nhcarnival.org/updates/notting-hill-carnival-2025,2026-09-07
totally-thames,2025-09-01,2025-09-30,Totally Thames,Festivals,River Thames and riverside venues,A month of river culture heritage walks installations and performances.,Mixed,Individual programme dates and booking arrangements vary.,https://thamesfestivaltrust.org/read-watch-listen/totally-thames-festival-2025/,2026-09-08
london-podcast-festival,2025-09-04,2025-09-14,London Podcast Festival,Performance,Kings Place,Live recordings and special editions from UK and international podcasts.,Ticketed,,https://www.kingsplace.co.uk/magazine/features/london-podcast-festival-2025/,2026-09-08
classic-boat-festival,2025-09-06,2025-09-07,Classic Boat Festival,Heritage,St Katharine Docks,A waterside gathering of historic boats and maritime displays.,Free,Part of Totally Thames.,https://thamesfestivaltrust.org/read-watch-listen/totally-thames-festival-2025/,2026-09-08
proms-last-night,2025-09-13,2025-09-13,Last Night of the Proms,Music,Royal Albert Hall,The closing concert of the summer Proms season.,Ticketed,,https://catalogue.royalalberthall.com/record/performance/PERF23486,2026-09-07
radical-harmony,2025-09-13,2026-02-08,Radical Harmony: Helene Kröller-Müller's Neo-Impressionists,Exhibitions,National Gallery,Neo-Impressionist works from the Kröller-Müller Museum.,Ticketed,,https://www.nationalgallery.org.uk/exhibitions/past/radical-harmony-neo-impressionists?promo=353558,2026-09-08
open-house,2025-09-13,2025-09-21,Open House Festival,Architecture,Buildings and neighbourhoods across London,Access to significant buildings plus walks talks and tours.,Mixed,Many entries require advance booking or a ballot.,https://open-city.org.uk/blog/2025guestcurators,2026-09-08
design-festival,2025-09-13,2025-09-21,London Design Festival,Art & design,Venues across London,"Exhibitions, installations and events across the city.",Mixed,,https://londondesignfestival.com/stories/a-first-look-at-ldf25/,2026-09-07
lfw-september,2025-09-18,2025-09-22,London Fashion Week,Fashion,Venues across London,The September collections and associated city events.,Industry / mixed,Show invitations and public city events have separate access arrangements.,https://www.britishfashioncouncil.co.uk/bfcnews/4682/LONDON-FASHION-WEEK-PRESENTED-BY-1664-BLANC-STARTS-TODAY,2026-09-07
marie-antoinette,2025-09-20,2026-03-22,Marie Antoinette Style,Exhibitions,"V&A South Kensington",The visual legacy and enduring fashion influence of Marie Antoinette.,Timed tickets,,https://www.vam.ac.uk/articles/about-the-marie-antoinette-style-exhibition,2026-09-08
