date,condition,summary,high_c,low_c,rain_mm,wind_mph,wind_direction,morning,afternoon,evening,house_note
2025-08-01,sunny,Sunny,26,18,0,11,NE,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-02,sunny,Sunny,25,17,0,8,SW,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-03,sunny,Sunny,24,17,0,5,W,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,Dry intervals for the garden; bring a layer for the evening.
2025-08-04,sunny,Sunny,25,16,0,8,E,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-05,sunny,Sunny,24,16,0,6,NE,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,Dry intervals for the garden; bring a layer for the evening.
2025-08-06,showers,Passing showers,21,12,1.8,5,W,Broken cloud and a possible passing shower.,Scattered showers with dry intervals.,Showers easing; some damp paving remains.,Keep an indoor alternative for terrace plans; showers come and go.
2025-08-07,showers,Passing showers,21,11,1.6,12,SW,Broken cloud and a possible passing shower.,Scattered showers with dry intervals.,Showers easing; some damp paving remains.,Keep an indoor alternative for terrace plans; showers come and go.
2025-08-08,showers,Passing showers,21,11,1.9,5,W,Broken cloud and a possible passing shower.,Scattered showers with dry intervals.,Showers easing; some damp paving remains.,Keep an indoor alternative for terrace plans; showers come and go.
2025-08-09,sunny,Sunny,26,15,0,4,SW,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-10,sunny,Sunny,25,17,0,4,W,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-11,sunny,Sunny,28,19,0,6,NE,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-12,sunny,Sunny,27,19,0,9,NE,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-13,sunny,Sunny,27,20,0,8,W,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-14,sunny,Sunny,26,17,0,6,NE,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-15,cloudy,Mostly cloudy,24,13,0,8,W,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-08-16,cloudy,Mostly cloudy,24,15,0,6,W,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-08-17,cloudy,Mostly cloudy,23,13,0,6,SW,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-08-18,rain,Rain at times,22,12,5.6,15,W,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-08-19,rain,Rain at times,20,11,8.1,17,S,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-08-20,rain,Rain at times,20,11,5.2,16,SW,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-08-21,rain,Rain at times,20,12,7.5,9,W,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-08-22,partly-cloudy,Sunny intervals,23,12,0,7,W,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-08-23,partly-cloudy,Sunny intervals,25,17,0,6,NE,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-24,partly-cloudy,Sunny intervals,25,16,0,10,W,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-25,partly-cloudy,Sunny intervals,25,15,0,9,E,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A good terrace day. Keep water handy and shade available at lunch.
2025-08-26,partly-cloudy,Sunny intervals,24,17,0,10,NE,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-08-27,cloudy,Mostly cloudy,21,13,0,6,SW,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-08-28,cloudy,Mostly cloudy,20,9,0,11,E,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-08-29,cloudy,Mostly cloudy,21,11,0,9,NE,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-08-30,cloudy,Mostly cloudy,20,9,0,4,W,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-08-31,cloudy,Mostly cloudy,21,10,0,12,W,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-09-01,partly-cloudy,Sunny intervals,22,11,0,10,NE,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-09-02,partly-cloudy,Sunny intervals,23,12,0,10,E,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-09-03,partly-cloudy,Sunny intervals,23,16,0,12,NE,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-09-04,partly-cloudy,Sunny intervals,22,12,0,12,SW,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-09-05,partly-cloudy,Sunny intervals,22,13,0,12,W,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-09-06,rain,Rain at times,19,10,11.7,10,SW,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-09-07,rain,Rain at times,19,12,9.5,15,W,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-09-08,rain,Rain at times,20,11,11.8,16,W,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-09-09,rain,Rain at times,19,9,11.1,15,W,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-09-10,sunny,Sunny,21,11,0,10,W,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,Dry intervals for the garden; bring a layer for the evening.
2025-09-11,sunny,Sunny,20,13,0,8,NE,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,Dry intervals for the garden; bring a layer for the evening.
2025-09-12,sunny,Sunny,20,13,0,5,SW,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,Dry intervals for the garden; bring a layer for the evening.
2025-09-13,sunny,Sunny,22,13,0,11,E,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,Dry intervals for the garden; bring a layer for the evening.
2025-09-14,sunny,Sunny,21,10,0,6,NE,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,Dry intervals for the garden; bring a layer for the evening.
2025-09-15,sunny,Sunny,21,11,0,8,NE,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,Dry intervals for the garden; bring a layer for the evening.
2025-09-16,showers,Passing showers,19,10,2.1,4,W,Broken cloud and a possible passing shower.,Scattered showers with dry intervals.,Showers easing; some damp paving remains.,Keep an indoor alternative for terrace plans; showers come and go.
2025-09-17,showers,Passing showers,21,10,3.6,10,SW,Broken cloud and a possible passing shower.,Scattered showers with dry intervals.,Showers easing; some damp paving remains.,Keep an indoor alternative for terrace plans; showers come and go.
